Initializing I2C devices...A
Initializing I2C devices...B
Testing device connections...
MPU6050 connection successful
-680	-252	16796	-258	86	-79	
-656	-60	16788	-264	81	-56	
-700	-72	16884	-258	92	-66	
-592	-240	16724	-259	64	-36	
-688	-156	16704	-275	71	-64	
-600	-56	16732	-289	89	-47	
-580	-124	16640	-277	64	-47	
-696	-184	16540	-264	71	-56	
-616	-248	16572	-268	108	-57	
-572	-188	16676	-288	71	-43	
-672	-168	16752	-259	83	-45	
-540	-108	16780	-268	65	-34	
-676	-132	16668	-292	102	-49	
-728	-176	16600	-272	84	-32	
-628	-228	16788	-268	84	-75	
-612	-156	16664	-284	78	-37	
-688	-156	16616	-256	70	-47	
-532	-116	16596	-288	85	-64	
-616	-128	16684	-286	80	-47	
-604	-196	16772	-261	85	-59	
-660	-200	16868	-287	77	-46	
-600	-104	16688	-280	81	-64	
-712	-172	16672	-297	99	-70	
-628	-104	16696	-261	77	-56	
-516	-120	16760	-268	101	-35	
-664	-72	16700	-273	106	-67	
-736	-136	16660	-292	93	-46	
-720	-156	16624	-278	107	-51	
-560	-164	16704	-258	84	-36	
-568	-248	16740	-288	86	-58	
-664	-188	16644	-251	80	-60	
-644	-184	16684	-268	69	-41	
-656	-92	16856	-257	85	-68	
-604	-188	16644	-262	87	-47	
-640	-132	16596	-283	90	-59	
-616	-172	16880	-280	80	-54	
-672	-208	16776	-285	110	-43	
-600	-84	16788	-268	78	-48	
-652	-184	16648	-282	61	-50	
-680	-140	16784	-275	87	-41	
-636	-160	16672	-271	87	-46	
-700	-248	16732	-252	95	-68	
-628	-124	16620	-258	87	-68	
-704	-148	16648	-271	80	-47	
-668	-176	16552	-264	98	-69	
-584	-96	16688	-279	91	-62	
-608	-156	16716	-277	64	-37	
-652	-200	16564	-275	110	-50	
-620	-72	16684	-282	84	-62	
-576	-212	16720	-280	100	-41	
-572	-96	16608	-275	88	-58	
-720	-156	16648	-289	111	-46	
-548	-252	16728	-296	81	-41	
-468	-136	16744	-272	72	-51	
-700	-216	16600	-279	86	-35	
-716	-224	16708	-271	91	-61	
-792	-216	16616	-280	66	-53	
-652	-96	16704	-288	79	-56	
-692	-212	16716	-293	86	-64	
-712	-164	16708	-277	67	-61	
-676	-244	16668	-278	87	-44	
-652	-96	16588	-279	85	-24	
-648	-224	16656	-265	55	-55	
-532	-196	16724	-270	83	-67	
-588	-100	16656	-280	70	-66	
-644	-192	16824	-292	83	-50	
-720	-124	16656	-277	105	-66	
-592	-208	16740	-241	104	-53	
-696	-76	16864	-277	86	-29	
-648	-96	16720	-291	104	-46	
-716	-84	16532	-273	77	-49	
-676	-140	16716	-294	87	-68	
-620	-120	16668	-275	86	-56	
-648	-136	16720	-291	60	-56	
-604	-52	16852	-289	89	-61	
-716	-232	16684	-290	88	-49	
-632	-208	16668	-262	98	-57	
-660	-128	16632	-263	92	-43	
-652	-220	16584	-272	98	-48	
-716	-132	16672	-267	94	-75	
